CustomerKey,VisitNumber,TicketDate,TicketTime,PriorVisits,SaleLines,ReturnLines,GiftCardLines,ProduceLines,MeatLines,FishLines,OilLines,FreshPastaLines,SAFOLines,RotisserieLines,NetAmount,NetRetailAmount,NetQSRAmount,DiscountAmount,StationGroup,UniqueItems,UniqueCategories,ReturnedBags,TopItemLines,RepeatProducts,WillReturn
379860,27,2015-10-21,16:47:22,26,1,0,0,0,0,0,0,0,0,0,2.8,2.8,0.0,0.0,Other,1,1,False,1,0,True
151943,5,2015-10-21,16:52:34,4,6,0,0,0,0,0,0,0,0,0,22.8,22.8,0.0,0.0,Other,1,1,False,6,1,False
183981,5,2015-10-21,17:05:33,4,2,0,0,0,0,0,0,0,0,1,6.6,1.8,4.8,0.0,Other,2,2,False,2,0,True
756736,7,2015-10-21,17:06:05,6,1,0,0,0,0,0,0,0,0,0,8.8,8.8,0.0,0.0,Other,1,1,False,0,0,True
975624,7,2015-10-21,17:13:47,6,1,0,0,0,0,0,0,0,0,0,2.24,2.24,0.0,0.56,Other,1,1,False,1,0,True
960334,15,2015-10-21,17:16:08,14,1,0,0,0,0,0,0,0,0,0,2.8,2.8,0.0,0.0,Other,1,1,False,1,0,True
588139,1,2015-10-21,17:20:33,0,1,0,0,0,0,0,0,0,0,0,6.8,6.8,0.0,0.0,Other,1,1,False,1,0,False
651386,12,2015-10-21,17:22:31,11,4,0,0,0,0,0,0,0,0,2,26.78,3.6,23.18,0.0,Other,3,2,False,4,1,True
649160,1,2015-10-21,17:23:11,0,2,0,0,0,0,0,0,0,0,0,10.6,10.6,0.0,0.0,Other,2,1,False,2,0,True
486191,3,2015-10-21,17:25:36,2,7,0,0,0,0,0,0,0,0,0,28.2,28.2,0.0,0.0,Other,6,2,False,3,1,True
966814,3,2015-10-21,17:26:54,2,2,0,0,0,0,0,0,0,0,0,8.6,8.6,0.0,0.0,Other,2,1,False,1,1,True
520786,1,2015-10-21,17:31:39,0,1,0,0,0,0,0,0,1,0,0,3.76,3.76,0.0,0.0,Other,1,1,False,1,0,False
554060,3,2015-10-21,17:33:25,2,3,0,0,0,1,0,0,0,0,0,34.42,34.42,0.0,0.0,Other,3,3,False,1,0,True
94232,4,2015-10-21,17:36:37,3,5,0,0,3,0,0,0,0,1,0,24.81,24.81,0.0,0.0,Other,4,4,False,2,1,False
387151,1,2015-10-21,17:37:10,0,1,0,0,0,0,0,0,0,0,0,2.8,2.8,0.0,0.0,Other,1,1,False,1,0,False
290318,1,2015-10-21,17:37:35,0,1,0,0,0,0,0,0,0,0,0,6.8,6.8,0.0,0.0,Other,1,1,False,1,0,False
649160,2,2015-10-21,17:38:02,1,1,0,0,0,0,0,0,0,0,0,2.18,2.18,0.0,0.0,Other,1,1,False,0,0,False
486657,2,2015-10-21,17:40:10,1,3,0,0,0,0,0,0,0,0,0,19.4,19.4,0.0,0.0,Other,3,1,False,2,0,True
218039,12,2015-10-21,17:42:20,11,4,0,0,1,0,1,0,0,0,0,26.8,26.8,0.0,0.0,Other,4,3,False,2,2,True
225959,1,2015-10-21,17:43:31,0,2,0,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,Other,2,2,False,1,0,False
973261,1,2015-10-21,17:47:52,0,7,0,0,0,0,0,0,1,3,1,40.69,36.68,4.01,0.0,Other,7,6,False,3,0,False
310621,3,2015-10-21,17:48:36,2,3,0,0,0,0,0,1,0,0,0,24.1,24.1,0.0,0.0,Other,3,2,False,2,0,True
661685,8,2015-10-21,17:49:55,7,1,0,0,0,0,0,0,0,0,0,8.8,8.8,0.0,0.0,Other,1,1,False,0,0,True
508611,9,2015-10-21,18:05:38,8,2,0,0,1,0,0,0,0,0,0,5.8,5.8,0.0,0.0,Other,2,2,False,1,0,False
233535,1,2015-10-21,18:07:36,0,4,0,0,0,0,0,0,0,2,0,23.23,23.23,0.0,0.0,Other,4,2,False,3,0,True
831194,4,2015-10-21,18:08:29,3,3,0,0,2,0,0,0,0,0,0,8.55,8.55,0.0,0.0,Other,3,3,False,1,0,False
255148,4,2015-10-21,18:09:05,3,1,0,0,0,0,0,0,0,0,0,5.8,5.8,0.0,0.0,Other,1,1,False,1,0,True
957852,3,2015-10-21,18:09:24,2,2,0,0,0,0,0,0,0,0,0,7.6,7.6,0.0,0.0,Other,1,1,False,2,0,True
898258,15,2015-10-21,18:10:36,14,4,0,0,0,0,0,0,0,0,0,15.9,15.9,0.0,0.0,Other,4,1,False,3,0,True
813229,109,2015-10-21,18:11:53,108,3,0,0,0,0,0,0,0,0,0,5.4,5.4,0.0,0.0,Other,1,1,False,3,0,True
163071,8,2015-10-21,18:13:19,7,3,0,0,0,0,0,0,0,0,0,13.4,13.4,0.0,0.0,Other,3,1,False,3,0,True
396000,1,2015-10-21,18:16:45,0,7,0,0,0,0,0,0,0,0,0,24.6,24.6,0.0,0.0,Other,3,1,False,4,0,False
772322,1,2015-10-21,18:17:22,0,2,0,0,0,0,0,0,0,0,0,10.6,10.6,0.0,0.0,Other,2,1,False,2,0,False
502097,1,2015-10-21,18:18:25,0,3,0,0,0,0,0,0,0,1,0,9.72,9.72,0.0,0.0,Other,3,2,False,2,0,True
448858,1,2015-10-21,18:19:14,0,1,0,0,0,0,0,0,0,0,0,4.5,4.5,0.0,0.0,Other,1,1,False,1,0,False
323004,1,2015-10-21,18:19:50,0,1,0,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0.0,Other,1,1,False,1,0,True
745494,52,2015-10-21,18:22:20,51,1,0,0,0,0,0,0,0,0,0,2.8,2.8,0.0,0.0,Other,1,1,False,1,1,True
720102,14,2015-10-21,18:26:02,13,5,0,0,2,0,0,0,0,0,0,12.57,12.57,0.0,0.0,Other,4,2,False,1,1,True
107740,11,2015-10-21,18:28:20,10,2,0,0,0,0,0,0,0,0,0,5.6,5.6,0.0,0.0,Other,1,1,False,2,1,True
666266,3,2015-10-21,18:31:42,2,3,0,0,2,0,0,0,0,0,0,13.05,13.05,0.0,0.0,Other,3,2,False,1,0,True
272659,1,2015-10-21,18:35:33,0,3,0,0,0,0,0,0,0,2,0,10.13,10.13,0.0,0.0,Other,3,3,False,0,0,False
169388,4,2015-10-21,18:39:17,3,1,0,0,0,0,0,0,0,0,0,9.8,9.8,0.0,0.0,Other,1,1,False,0,0,False
717673,1,2015-10-21,18:46:14,0,3,0,0,0,0,0,0,0,0,0,15.3,15.3,0.0,0.0,Other,3,1,False,2,0,False
453774,22,2015-10-21,18:48:19,21,5,0,0,0,0,0,0,0,3,0,22.9,22.9,0.0,0.0,Other,5,2,False,2,3,True
882442,2,2015-10-21,18:49:16,1,1,0,0,0,0,0,0,0,0,0,8.8,8.8,0.0,0.0,Other,1,1,False,0,0,True
805934,1,2015-10-21,18:50:30,0,2,0,0,0,0,0,0,0,0,0,6.6,6.6,0.0,0.0,Other,2,1,False,2,0,True
688197,1,2015-10-21,19:07:16,0,2,0,0,1,1,0,0,0,0,0,16.74,16.74,0.0,0.0,Other,2,2,False,0,0,True
863768,1,2015-10-21,19:08:29,0,2,0,0,0,0,0,0,0,0,0,3.6,3.6,0.0,0.0,Other,1,1,False,2,0,False
14521,4,2015-10-21,19:16:04,3,1,0,0,0,0,0,0,0,0,0,9.8,9.8,0.0,0.0,Other,1,1,False,0,0,False
867735,6,2015-10-21,19:17:39,5,1,0,0,0,0,0,0,0,0,0,9.8,9.8,0.0,0.0,Other,1,1,False,0,0,False
885581,2,2015-10-21,19:27:36,1,3,0,0,0,0,0,0,1,0,0,22.19,22.19,0.0,0.0,Other,2,2,False,3,0,False
339823,22,2015-10-21,19:29:25,21,2,0,0,0,0,0,0,0,0,0,6.6,6.6,0.0,0.0,Other,2,1,False,2,1,True
68958,1,2015-10-21,19:33:15,0,2,0,0,0,0,0,0,0,0,0,11.98,11.98,0.0,0.0,Other,2,2,False,1,0,False
458392,3,2015-10-21,19:36:47,2,1,0,0,0,0,0,0,0,0,0,6.8,6.8,0.0,0.0,Other,1,1,False,1,0,False
971128,11,2015-10-21,19:40:46,10,1,0,0,0,0,0,0,0,0,0,3.8,3.8,0.0,0.0,Other,1,1,False,1,0,True
67606,1,2015-10-21,19:44:49,0,3,0,0,0,0,0,0,0,0,0,7.78,7.78,0.0,0.0,Other,3,2,False,3,0,True
