CustomerKey,VisitNumber,TicketDate,TicketTime,PriorVisits,SaleLines,ReturnLines,GiftCardLines,NetAmount,NetRetailAmount,NetQSRAmount,DiscountAmount,StationGroup,UniqueItems,UniqueCategories,ReturnedBags,BoughtProduce,WillReturn
342975,3,2014-04-22,18:22:04,2,2,0,0,22.98,22.98,0.0,0.0,Front End,2,2,False,False,False
980954,1,2014-04-22,18:22:52,0,3,0,0,16.16,4.36,11.8,0.0,Front End,3,2,False,False,False
538642,1,2014-04-22,18:23:34,0,4,0,0,27.84,27.84,0.0,0.0,Front End,4,3,False,False,False
904490,3,2014-04-22,18:27:17,2,3,0,0,17.68,17.68,0.0,0.0,Front End,3,3,False,False,True
744569,1,2014-04-22,18:28:07,0,2,0,0,9.3,9.3,0.0,0.0,Front End,2,1,False,False,False
453795,1,2014-04-22,18:31:34,0,2,0,0,9.51,9.51,0.0,0.0,Front End,2,2,False,False,True
27640,1,2014-04-22,18:32:12,0,2,0,0,22.11,22.11,0.0,0.0,Front End,2,2,False,False,False
218244,1,2014-04-22,18:32:41,0,1,0,0,7.56,7.56,0.0,0.0,Front End,1,1,False,False,True
55081,4,2014-04-22,18:34:06,3,5,0,0,32.16,32.16,0.0,0.0,Front End,5,4,False,True,True
932548,1,2014-04-22,18:37:07,0,1,0,0,3.6,3.6,0.0,0.0,Front End,1,1,False,False,False
954483,1,2014-04-22,18:38:35,0,7,0,0,41.77,41.77,0.0,0.0,Front End,7,5,False,True,False
237903,13,2014-04-22,18:39:40,12,4,0,0,30.37,30.37,0.0,0.0,Front End,4,3,False,True,True
123054,5,2014-04-22,18:41:39,4,14,0,0,111.79,111.79,0.0,0.0,Front End,13,7,False,True,True
77672,6,2014-04-22,18:45:06,5,2,0,0,5.78,5.78,0.0,0.0,Front End,2,2,False,True,True
188755,27,2014-04-22,18:48:17,26,5,0,0,35.76,25.78,9.98,0.0,Front End,5,4,False,True,True
99713,1,2014-04-22,18:50:20,0,10,0,0,49.4,49.4,0.0,0.0,Front End,10,5,False,True,True
132098,1,2014-04-22,18:53:28,0,7,0,0,45.65,45.65,0.0,0.0,Front End,7,3,False,False,True
897155,2,2014-04-22,18:55:21,1,1,0,0,4.5,4.5,0.0,0.0,Front End,1,1,False,True,True
343503,2,2014-04-22,18:57:39,1,9,0,0,59.3,59.3,0.0,0.0,Front End,9,6,False,True,False
661237,1,2014-04-22,18:58:15,0,1,0,0,5.84,0.0,5.84,0.0,Front End,1,1,False,False,False
93328,1,2014-04-22,18:59:06,0,3,0,0,25.66,25.66,0.0,0.0,Front End,3,3,False,False,True
915641,1,2014-04-22,19:18:19,0,1,0,0,14.8,14.8,0.0,0.0,Front End,1,1,False,False,False
750233,28,2014-04-22,19:21:45,27,9,0,0,55.78,44.85,10.93,0.0,Front End,9,7,False,True,True
726357,24,2014-04-22,19:22:39,23,2,0,0,23.16,23.16,0.0,0.0,Front End,2,2,False,False,True
709515,4,2014-04-22,19:23:39,3,4,0,0,54.26,54.26,0.0,0.0,Front End,4,3,False,False,True
238219,10,2014-04-22,19:27:45,9,21,0,0,117.0,106.76,10.24,0.0,Front End,21,8,False,True,True
894396,5,2014-04-22,19:29:23,4,8,0,0,67.87,67.87,0.0,0.0,Front End,8,5,False,False,True
578761,17,2014-04-22,19:34:25,16,11,0,0,46.2,46.2,0.0,0.0,Front End,11,8,False,True,True
148909,2,2014-04-22,19:35:45,1,6,0,0,41.96,41.96,0.0,0.0,Front End,6,4,False,False,True
643380,34,2014-04-22,19:40:32,33,12,0,0,57.21,57.21,0.0,0.0,Front End,12,4,False,True,True
511369,14,2014-04-22,19:48:47,13,4,0,0,12.44,12.44,0.0,0.0,Front End,4,3,False,True,True
376617,6,2014-04-22,20:00:41,5,1,0,0,17.48,17.48,0.0,0.0,Front End,1,1,False,False,False
238784,4,2014-04-22,20:02:44,3,2,0,0,8.13,8.13,0.0,0.0,Front End,2,2,False,True,False
430558,2,2014-04-22,20:04:09,1,1,0,0,1.98,1.98,0.0,0.0,Front End,1,1,False,False,False
420287,1,2014-04-22,20:07:07,0,3,0,0,13.55,13.55,0.0,0.0,Front End,3,3,False,True,True
313107,1,2014-04-22,20:09:51,0,12,0,0,100.23,100.23,0.0,0.0,Front End,11,4,False,True,False
974494,9,2014-04-22,20:11:40,8,2,0,0,8.7,8.7,0.0,0.0,Front End,2,1,False,False,True
204304,2,2014-04-22,20:22:14,1,1,0,0,1.48,1.48,0.0,0.0,Front End,1,1,False,False,False
10961,1,2014-04-22,20:23:45,0,3,0,0,28.6,28.6,0.0,0.0,Front End,3,1,False,False,False
222270,2,2014-04-22,20:25:08,1,6,0,0,35.76,35.76,0.0,0.0,Front End,6,4,False,False,False
258738,3,2014-04-22,20:25:57,2,3,0,0,23.0,23.0,0.0,0.0,Front End,3,1,False,False,False
481008,12,2014-04-22,20:27:19,11,6,0,0,39.39,39.39,0.0,0.0,Front End,5,4,False,True,True
31680,1,2014-04-22,20:35:19,0,3,0,0,11.75,11.75,0.0,0.0,Front End,3,2,False,True,False
603679,17,2014-04-22,20:36:19,16,5,0,0,23.31,23.31,0.0,0.0,Front End,5,3,False,True,True
121750,3,2014-04-22,20:53:32,2,9,0,0,20.36,20.36,0.0,0.0,Front End,9,5,False,True,True
147689,1,2014-04-22,20:56:49,0,12,0,0,81.75,71.6,10.15,0.0,Front End,12,6,False,False,True
780973,1,2014-04-22,20:57:31,0,2,0,0,26.6,26.6,0.0,0.0,Front End,2,1,False,False,False
593172,1,2014-04-22,16:08:57,0,1,0,0,18.8,18.8,0.0,0.0,Front End,1,1,False,False,False
633226,9,2014-04-22,16:12:14,8,8,0,0,57.5,57.5,0.0,0.0,Front End,8,5,False,True,True
28089,1,2014-04-22,16:15:19,0,11,0,0,99.03,99.03,0.0,0.0,Front End,11,5,False,True,False
440025,31,2014-04-22,16:18:16,30,9,0,0,36.04,36.04,0.0,0.0,Front End,8,4,False,True,True
566334,26,2014-04-22,16:21:59,25,3,0,0,20.74,20.74,0.0,0.0,Front End,3,2,False,False,True
683858,4,2014-04-22,16:22:54,3,2,0,0,9.8,9.8,0.0,0.0,Front End,2,2,False,True,False
149301,1,2014-04-22,16:24:50,0,2,0,0,25.37,25.37,0.0,0.0,Front End,2,2,False,False,False
176641,9,2014-04-22,16:25:58,8,3,0,0,11.34,11.34,0.0,0.0,Front End,3,2,False,True,False
549228,3,2014-04-22,16:27:12,2,5,0,0,25.57,25.57,0.0,0.0,Front End,5,3,False,True,True
879562,39,2014-04-22,16:28:16,38,1,0,0,6.87,6.87,0.0,0.0,Front End,1,1,False,False,True
483951,1,2014-04-22,16:42:59,0,7,0,0,39.69,39.69,0.0,0.0,Front End,7,6,False,True,False
552288,8,2014-04-22,16:49:20,7,6,0,0,22.76,22.76,0.0,0.0,Front End,6,3,False,True,False
793163,14,2014-04-22,17:11:37,13,3,0,0,17.47,6.8,10.67,0.0,Front End,3,2,False,False,True
88957,4,2014-04-22,17:14:53,3,6,0,0,50.72,50.72,0.0,0.0,Front End,5,2,False,False,False
345881,2,2014-04-22,17:21:06,1,4,0,0,4.99,4.99,0.0,0.0,Front End,4,2,False,True,True
675028,2,2014-04-22,17:23:02,1,3,0,0,23.96,23.96,0.0,0.0,Front End,3,3,False,False,False
227010,1,2014-04-22,17:41:48,0,4,0,0,28.15,28.15,0.0,0.0,Front End,4,3,False,False,False
706262,2,2014-04-22,17:48:09,1,5,0,0,94.84,94.84,0.0,0.0,Front End,5,5,False,True,True
591478,5,2014-04-22,17:50:37,4,4,0,0,14.59,14.59,0.0,0.0,Front End,4,3,False,True,True
967263,8,2014-04-22,17:55:51,7,5,0,0,16.42,16.42,0.0,0.0,Front End,5,2,False,True,False
207204,10,2014-04-22,17:57:22,9,4,0,0,55.43,55.43,0.0,0.0,Front End,4,2,False,False,True
321382,9,2014-04-22,17:59:39,8,5,0,0,74.42,74.42,0.0,0.0,Front End,5,4,False,True,True
886951,2,2014-04-22,18:01:37,1,7,0,0,56.62,56.62,0.0,0.0,Front End,7,5,False,True,True
447418,1,2014-04-22,18:07:50,0,20,0,0,152.78,148.24,4.54,0.0,Front End,20,12,False,True,True
638995,1,2014-04-22,18:09:07,0,3,0,0,57.4,57.4,0.0,0.0,Front End,3,2,False,False,False
875815,31,2014-04-22,18:13:09,30,10,0,0,112.48,103.18,9.3,0.0,Front End,10,4,False,True,True
59648,123,2014-04-22,18:14:58,122,2,0,0,19.68,19.68,0.0,0.0,Front End,2,2,False,True,True
869815,6,2014-04-16,14:20:57,5,1,0,0,11.8,0.0,11.8,0.0,Other,1,1,False,False,True
616688,10,2014-04-16,14:21:24,9,1,0,0,14.8,0.0,14.8,0.0,Other,1,1,False,False,True
358296,1,2014-04-16,14:21:44,0,1,0,0,11.48,0.0,11.48,0.0,Other,1,1,False,False,True
4026,1,2014-04-16,14:22:26,0,1,0,0,11.8,0.0,11.8,0.0,Other,1,1,False,False,False
173888,1,2014-04-16,14:22:46,0,1,0,0,11.8,0.0,11.8,0.0,Other,1,1,False,False,False
902053,1,2014-04-16,14:23:32,0,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
922655,3,2014-04-16,14:25:11,2,1,0,0,11.8,0.0,11.8,0.0,Other,1,1,False,False,False
956152,1,2014-04-16,14:31:03,0,2,0,0,16.3,0.0,16.3,0.0,Other,2,1,False,False,False
407410,1,2014-04-16,14:36:18,0,2,0,0,17.7,0.0,17.7,0.0,Other,2,1,False,False,True
126319,1,2014-04-16,14:41:09,0,2,0,0,23.6,0.0,23.6,0.0,Other,1,1,False,False,False
820228,1,2014-04-16,14:42:08,0,1,0,0,2.6,2.6,0.0,0.0,Other,1,1,False,False,True
626685,4,2014-04-16,14:51:27,3,2,0,0,9.87,0.0,9.87,0.0,Other,2,1,False,False,True
21997,4,2014-04-16,14:52:50,3,1,0,0,11.8,0.0,11.8,0.0,Other,1,1,False,False,True
344215,1,2014-04-16,14:57:09,0,2,0,0,14.75,0.0,14.75,0.0,Other,2,1,False,False,False
977303,1,2014-04-16,15:10:01,0,1,0,0,11.8,0.0,11.8,0.0,Other,1,1,False,False,False
307297,1,2014-04-16,15:12:25,0,3,0,0,16.95,1.0,15.95,0.0,Other,3,2,False,False,False
144026,1,2014-04-16,15:19:50,0,2,0,0,23.35,0.0,23.35,0.0,Other,2,1,False,False,False
341241,7,2014-04-16,15:24:10,6,2,0,0,12.12,0.0,12.12,0.0,Other,2,1,False,False,False
105070,38,2014-04-16,15:36:21,37,1,0,0,3.6,3.6,0.0,0.9,Other,1,1,False,False,True
911741,4,2014-04-16,15:48:43,3,2,0,0,19.6,4.8,14.8,0.0,Other,2,2,False,False,True
446916,1,2014-04-16,16:01:10,0,1,0,0,9.69,0.0,9.69,0.0,Other,1,1,False,False,False
118566,64,2014-04-16,16:02:56,63,3,0,0,18.45,0.0,18.45,0.0,Other,2,1,False,False,True
626927,8,2014-04-16,16:10:17,7,2,0,0,18.4,0.0,18.4,0.0,Other,2,1,False,False,True
88679,7,2014-04-16,16:14:10,6,3,0,0,24.07,0.0,24.07,0.0,Other,3,1,False,False,True
822031,1,2014-04-16,16:18:36,0,1,0,0,4.36,4.36,0.0,0.0,Other,1,1,False,False,True
822031,2,2014-04-16,16:18:54,1,1,0,0,2.18,2.18,0.0,0.0,Other,1,1,False,False,True
111229,5,2014-04-16,16:19:59,4,1,0,0,12.96,0.0,12.96,0.0,Other,1,1,False,False,False
165064,2,2014-04-16,16:42:53,1,1,0,0,14.8,0.0,14.8,0.0,Other,1,1,False,False,True
777087,2,2014-04-16,16:57:39,1,1,0,0,14.8,0.0,14.8,0.0,Other,1,1,False,False,False
477395,2,2014-04-16,11:01:43,1,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
26732,1,2014-04-16,11:07:54,0,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,False
21718,1,2014-04-16,11:08:30,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
582782,4,2014-04-16,11:09:10,3,2,0,0,21.6,0.0,21.6,0.0,Other,2,1,False,False,False
232306,6,2014-04-16,11:21:59,5,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
408756,3,2014-04-16,11:24:41,2,2,0,0,11.3,0.0,11.3,0.0,Other,2,1,False,False,True
18574,4,2014-04-16,11:32:56,3,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,False
971486,2,2014-04-16,11:37:19,1,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
838484,1,2014-04-16,11:40:06,0,5,0,0,32.1,11.5,20.6,0.0,Other,4,2,False,True,True
752251,3,2014-04-16,11:47:06,2,1,0,0,3.0,3.0,0.0,0.0,Other,1,1,False,True,True
92502,3,2014-04-16,11:52:47,2,2,0,0,12.55,1.75,10.8,0.0,Other,2,2,False,True,False
659808,1,2014-04-16,11:55:33,0,1,0,0,8.8,0.0,8.8,0.0,Other,1,1,False,False,False
402101,1,2014-04-16,11:56:35,0,1,0,0,3.2,0.0,3.2,0.0,Other,1,1,False,False,True
765686,64,2014-04-16,11:59:16,63,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
283415,3,2014-04-16,12:00:30,2,3,0,0,11.3,2.0,9.3,0.0,Other,3,2,False,False,True
133295,1,2014-04-16,12:02:55,0,2,0,0,13.8,1.0,12.8,0.0,Other,2,2,False,False,False
64020,1,2014-04-16,12:04:06,0,2,0,0,4.8,4.8,0.0,0.0,Other,2,2,False,True,True
68382,1,2014-04-16,12:06:03,0,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
207921,2,2014-04-16,12:09:54,1,2,0,0,12.8,2.0,10.8,0.0,Other,2,2,False,False,False
375842,1,2014-04-16,12:12:59,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
132181,1,2014-04-16,12:15:09,0,2,0,0,14.98,2.18,12.8,0.0,Other,2,2,False,False,False
221018,1,2014-04-16,12:16:41,0,2,0,0,20.6,0.0,20.6,0.0,Other,2,1,False,False,False
592991,3,2014-04-16,12:17:15,2,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
17565,1,2014-04-16,12:18:52,0,2,0,0,12.28,1.48,10.8,0.0,Other,2,2,False,False,True
486465,4,2014-04-16,12:20:10,3,2,0,0,12.28,1.48,10.8,0.0,Other,2,2,False,False,True
741960,1,2014-04-16,12:20:54,0,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,False
789879,1,2014-04-16,12:22:11,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
401762,2,2014-04-16,12:23:43,1,2,0,0,12.8,0.0,12.8,0.0,Other,2,1,False,False,True
568778,1,2014-04-16,12:28:16,0,2,0,0,13.28,2.48,10.8,0.0,Other,2,2,False,False,True
843694,17,2014-04-16,12:30:12,16,2,0,0,13.18,2.38,10.8,0.0,Other,2,2,False,False,True
226443,13,2014-04-16,12:31:21,12,2,0,0,11.28,1.48,9.8,0.0,Other,2,2,False,False,True
314347,1,2014-04-16,12:33:37,0,7,0,0,50.98,19.58,31.4,0.0,Other,7,5,False,True,False
752389,2,2014-04-16,12:34:57,1,2,0,0,12.8,2.0,10.8,0.0,Other,2,2,False,False,False
311807,5,2014-04-16,12:39:30,4,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
84199,4,2014-04-16,12:42:04,3,5,0,0,17.03,6.23,9.8,0.0,Other,5,4,False,True,False
768443,2,2014-04-16,12:42:48,1,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,False
530578,1,2014-04-16,12:43:32,0,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,False
348240,40,2014-04-16,12:46:43,39,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,True
715073,1,2014-04-16,12:49:23,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
250589,1,2014-04-16,12:50:16,0,2,0,0,11.9,2.1,9.8,0.0,Other,2,2,False,False,False
950707,1,2014-04-16,12:52:25,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
725465,1,2014-04-16,12:55:15,0,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,False
397121,1,2014-04-16,12:56:05,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
264538,2,2014-04-16,13:00:51,1,2,0,0,17.16,4.36,12.8,0.0,Other,2,2,False,False,True
899464,1,2014-04-16,13:01:47,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
85167,4,2014-04-16,13:02:34,3,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
319893,2,2014-04-16,13:04:53,1,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
117181,1,2014-04-16,13:05:40,0,2,0,0,14.0,0.0,14.0,0.0,Other,2,1,False,False,False
497792,1,2014-04-16,13:06:31,0,2,0,0,11.8,1.0,10.8,0.0,Other,2,2,False,False,False
786496,1,2014-04-16,13:06:58,0,2,0,0,11.8,1.0,10.8,0.0,Other,2,2,False,False,True
889129,1,2014-04-16,13:07:41,0,1,0,0,8.8,0.0,8.8,0.0,Other,1,1,False,False,False
680876,2,2014-04-16,13:10:01,1,2,0,0,14.9,2.1,12.8,0.0,Other,2,2,False,False,True
676357,3,2014-04-16,13:13:54,2,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,True
16808,4,2014-04-16,13:15:06,3,2,0,0,13.3,2.5,10.8,0.0,Other,2,2,False,True,True
859236,1,2014-04-16,13:16:45,0,4,0,0,27.08,4.48,22.6,0.0,Other,4,3,False,True,False
927510,6,2014-04-16,13:17:41,5,2,0,0,10.78,1.98,8.8,0.0,Other,2,2,False,False,True
710044,5,2014-04-16,13:18:16,4,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
342231,1,2014-04-16,13:19:04,0,2,0,0,12.9,2.1,10.8,0.0,Other,2,2,False,False,False
40317,2,2014-04-16,13:22:48,1,2,0,0,20.6,0.0,20.6,0.0,Other,2,1,False,False,False
109837,1,2014-04-16,13:23:59,0,3,0,0,32.4,2.0,30.4,0.0,Other,3,2,False,False,False
745493,2,2014-04-16,13:26:02,1,3,0,0,31.4,0.0,31.4,0.0,Other,3,1,False,False,True
192983,1,2014-04-16,13:26:39,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
49375,13,2014-04-16,13:27:07,12,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
359245,1,2014-04-16,13:29:41,0,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,False
543498,4,2014-04-16,13:32:11,3,3,0,0,30.28,1.48,28.8,0.0,Other,3,2,False,False,True
184365,6,2014-04-16,13:33:52,5,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,True
806815,8,2014-04-16,13:35:54,7,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
912445,1,2014-04-16,13:38:12,0,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,False
659522,4,2014-04-16,13:38:42,3,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
360857,2,2014-04-16,13:39:40,1,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,False
276227,1,2014-04-16,13:40:53,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,True
909956,3,2014-04-16,13:42:24,2,6,0,0,34.48,14.88,19.6,0.0,Other,6,4,False,False,True
31959,1,2014-04-16,13:47:00,0,4,0,0,24.08,2.48,21.6,0.0,Other,4,2,False,False,True
720630,3,2014-04-16,13:50:41,2,2,0,0,10.8,0.0,10.8,0.0,Other,2,2,False,False,True
816962,4,2014-04-16,13:51:40,3,2,0,0,12.48,2.68,9.8,0.0,Other,2,2,False,False,True
56875,1,2014-04-16,13:53:14,0,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
193491,1,2014-04-16,13:54:48,0,8,0,0,36.76,7.36,29.4,0.0,Other,8,4,False,False,False
175372,28,2014-04-16,13:55:41,27,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,True
139226,1,2014-04-16,13:56:16,0,2,0,0,13.3,2.5,10.8,0.0,Other,2,2,False,True,True
892877,1,2014-04-16,13:56:59,0,2,0,0,10.8,2.0,8.8,0.0,Other,2,2,False,False,False
881908,1,2014-04-16,13:58:37,0,4,0,0,29.96,4.36,25.6,0.0,Other,4,2,False,False,False
671961,1,2014-04-16,13:59:50,0,4,0,0,26.6,0.0,26.6,0.0,Other,4,1,False,False,False
683278,1,2014-04-16,14:01:23,0,1,0,0,9.8,0.0,9.8,0.0,Other,1,1,False,False,False
486840,1,2014-04-16,14:02:40,0,1,0,0,11.8,0.0,11.8,0.0,Other,1,1,False,False,False
705581,1,2014-04-16,14:04:46,0,6,0,0,30.18,9.58,20.6,0.0,Other,6,3,False,False,False
621881,5,2014-04-16,14:05:32,4,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,True
432248,9,2014-04-16,14:06:01,8,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,True
292998,1,2014-04-16,14:07:14,0,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,True
701518,1,2014-04-16,14:08:11,0,1,0,0,12.8,0.0,12.8,0.0,Other,1,1,False,False,False
48323,2,2014-04-16,14:09:00,1,1,0,0,3.2,0.0,3.2,0.0,Other,1,1,False,False,False
113622,1,2014-04-16,14:10:07,0,1,0,0,1.8,1.8,0.0,0.0,Other,1,1,False,False,False
263164,28,2014-04-16,14:15:27,27,1,0,0,8.64,0.0,8.64,2.16,Other,1,1,False,False,True
550676,4,2014-04-16,14:19:21,3,3,0,0,7.2,7.2,0.0,0.0,Other,3,1,False,False,True
485028,10,2014-04-16,14:21:02,9,1,0,0,10.8,0.0,10.8,0.0,Other,1,1,False,False,True
944883,23,2014-04-16,14:25:38,22,1,0,0,7.04,0.0,7.04,1.76,Other,1,1,False,False,True
661763,7,2014-04-16,14:26:05,6,2,0,0,13.8,0.0,12.8,0.0,Other,2,2,False,False,True
522690,1,2014-04-16,14:27:59,0,3,0,0,36.58,2.18,34.4,0.0,Other,3,2,False,False,True
546379,2,2014-04-16,14:32:33,1,2,0,0,14.8,2.0,12.8,0.0,Other,2,2,False,False,False
