TicketDate,Hr,TicketCount
2014-01-30,10,48
2015-07-21,16,357
2015-04-26,10,131
2014-04-26,16,459
2015-03-02,21,104
2014-12-27,8,3
2014-01-29,17,220
2015-01-19,10,75
2015-08-13,18,359
2015-05-19,12,323
2015-02-07,19,273
2014-03-26,22,93
2015-06-10,21,226
2014-12-13,14,512
2014-12-19,16,419
2014-04-12,22,169
2015-07-07,22,122
2014-01-15,23,6
2014-10-11,10,111
2015-02-21,13,387
2014-04-03,14,415
2015-02-15,11,166
2014-04-09,16,331
2015-05-05,18,342
2015-03-29,22,70
2015-03-29,16,475
2014-01-02,16,353
2014-01-02,22,54
2014-11-30,13,412
2014-05-02,18,459
2014-02-04,19,212
2015-03-30,9,1
2015-01-02,10,90
2013-12-24,14,592
2013-12-24,8,64
2015-04-21,18,375
2014-03-20,20,233
2014-07-18,16,473
2015-07-08,9,3
2014-05-10,10,118
2015-04-06,14,406
2015-03-10,13,346
2015-08-04,10,78
2014-02-12,11,134
2014-05-09,23,18
2013-12-16,16,316
2014-02-21,19,248
2015-05-18,19,344
2015-01-11,18,277
2014-01-08,18,264
2015-09-24,23,3
2014-11-24,11,191
2014-12-27,14,496
2015-12-03,13,403
2015-09-01,21,192
2014-06-07,21,262
2014-03-26,16,249
2015-09-21,8,2
2014-05-15,19,370
2015-10-08,17,369
2014-08-16,11,262
2015-11-10,11,156
2014-08-10,18,320
2015-08-05,20,302
2014-03-12,22,76
2015-10-21,18,396
2015-04-20,8,1
2014-07-10,15,388
2013-12-02,22,66
2015-05-13,10,94
2014-11-07,11,267
2015-10-14,10,92
2015-07-13,18,413
2014-04-18,18,448
2015-03-15,22,82
2015-06-16,17,293
2014-09-18,8,2
2014-07-04,22,141
2014-02-27,21,116
2015-02-02,10,50
2014-10-05,14,569
2014-01-07,8,1
2014-04-01,15,357
2014-11-24,17,354
2015-06-30,11,147
2014-08-29,18,360
2014-12-21,15,602
2014-09-26,9,1
2014-03-13,9,3
2015-08-05,17,363
2014-07-24,12,465
2014-09-21,20,232
2015-06-07,9,5
2015-09-01,15,386
2014-06-07,15,479
2014-05-21,18,419
2014-04-24,17,356
2014-11-10,23,3
2014-09-12,15,401
2015-09-15,9,1
2015-05-24,15,414
